timestamp,actuator_cmd[0],actuator_cmd[1],actuator_cmd[2],actuator_cmd[3],actuator_cmd[4],actuator_cmd[5],actuator_cmd[6],actuator_cmd[7],actuator_cmd[8],actuator_cmd[9],actuator_cmd[10],actuator_cmd[11],actuator_cmd[12],actuator_cmd[13],actuator_cmd[14],actuator_cmd[15],delta_ts
12300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
12400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
12500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
12600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
12700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
12800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
12900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
13000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
13100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
13200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
13300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
13400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
13500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
13600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
13700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
13800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
13900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
14000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
14100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
14200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
14300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
14400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
14500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
14600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
14700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
14800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
14900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
15000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
15100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
15200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
15300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
15400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
15500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
15600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
15700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
15800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
15900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
16000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
16100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
16200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
16300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
16400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
16500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
16600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
16700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
16800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
16900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
17000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
17100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
17200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
17300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
17400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
17500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
17600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
17700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
17800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
17900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
18000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
18100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
18200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
18300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
18400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
18500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
18600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
18700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
18800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
18900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
19000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
19100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
19200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
19300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
19400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
19500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
19600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
19700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
19800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
19900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
20000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
20100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
20200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
20300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
20400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
20500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
20600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
20700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
20800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
20900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
21000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
21100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
21200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
21300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
21400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
21500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
21600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
21700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
21800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
21900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
22000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
22100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
22200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
22300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
22400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
22500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
22600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
22700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
